timestamp,heart_rate,heart_rmssd
1579507463000,56,75
1579507763000,54,72
1579508063000,54,60
1579508363000,54,61
1579508663000,54,52
1579508963000,54,75
1579509263000,55,86
1579509563000,55,66
1579509863000,55,94
1579510163000,55,64
1579510463000,55,95
1579510763000,53,81
1579511063000,50,97
1579511363000,54,73
1579511663000,55,67
1579511963000,54,76
1579512263000,52,56
1579512563000,52,50
1579512863000,52,66
1579513163000,51,53
1579513463000,51,63
1579513763000,51,62
1579514063000,52,72
1579514363000,52,70
1579514663000,51,69
1579514963000,52,73
1579515263000,53,78
1579515563000,53,95
1579515863000,53,126
1579516163000,54,98
1579516463000,53,80
1579516763000,58,86
1579517063000,55,75
1579517363000,54,76
1579517663000,54,82
1579517963000,53,89
1579518263000,53,67
1579518563000,0,0
1579518863000,52,89
1579519163000,52,85
1579519463000,51,89
1579519763000,51,94
1579520063000,50,92
1579520363000,50,83
1579520663000,49,92
1579520963000,49,75
1579521263000,48,69
1579521563000,47,80
1579521863000,47,73
1579522163000,47,91
1579522463000,48,91
1579522763000,49,119
1579523063000,51,96
1579523363000,53,142
1579523663000,51,132
1579523963000,51,112
1579524263000,49,85
1579524563000,50,104
1579524863000,49,79
1579525163000,50,70
1579525463000,49,84
1579525763000,50,112
1579526063000,49,100
1579526363000,50,96
1579526663000,50,117
1579526963000,47,81
1579527263000,46,90
1579527563000,46,105
1579527863000,47,117
1579528163000,47,99
1579528463000,50,102
1579528763000,49,112
1579529063000,47,90
1579529363000,49,105
1579529663000,49,88
1579529963000,50,96
1579530263000,50,121
1579530563000,49,102
1579530863000,52,159
1579531163000,50,141
1579531463000,51,128
1579531763000,51,133
1579532063000,49,88
1579532363000,49,86
1579532663000,49,104
1579532963000,51,81
1579533263000,47,99
1579533563000,47,73
1579533863000,0,0
1579534163000,45,85
1579534463000,46,79
1579534763000,47,96
1579535063000,46,99
1579535363000,49,136
1579535663000,53,124
1579535963000,0,0
1579536263000,51,87
1579536563000,49,97
1579536863000,49,101
1579537163000,49,125
1579537463000,0,0
1579537763000,0,0
1579538063000,0,0
1579538363000,50,89
1579538663000,48,87
1579538963000,0,0
1579539263000,0,0
1579587719000,54,60
1579588019000,54,57
1579588319000,54,57
1579588619000,54,61
1579588919000,52,59
1579589219000,54,67
1579589519000,53,70
1579589819000,53,69
1579590119000,53,71
1579590419000,55,78
1579590719000,53,67
1579591019000,0,0
1579591319000,0,0
1579591619000,57,66
1579591919000,57,73
1579592219000,57,67
1579592519000,57,70
1579592819000,57,60
1579593119000,56,54
1579593419000,54,57
1579593719000,54,53
1579594019000,54,53
1579594319000,53,59
1579594619000,54,60
1579594919000,54,56
1579595219000,54,57
1579595519000,55,59
1579595819000,55,64
1579596119000,56,58
1579596419000,57,74
1579596719000,57,103
1579597019000,62,74
1579597319000,60,79
1579597619000,62,54
1579597919000,62,56
1579598219000,61,59
1579598519000,58,59
1579598819000,55,103
1579599119000,54,87
1579599419000,56,75
1579599719000,55,87
1579600019000,54,90
1579600319000,54,70
1579600619000,53,80
1579600919000,53,77
1579601219000,53,92
1579601519000,52,90
1579601819000,51,59
1579602119000,52,60
1579602419000,52,99
1579602719000,52,81
1579603019000,52,78
1579603319000,59,76
1579603619000,57,86
1579603919000,60,106
1579604219000,53,93
1579604519000,54,103
1579604819000,52,85
1579605119000,56,82
1579605419000,56,103
1579605719000,50,68
1579606019000,50,91
1579606319000,50,71
1579606619000,49,88
1579606919000,49,72
1579607219000,49,85
1579607519000,48,80
1579607819000,49,82
1579608119000,47,75
1579608419000,47,73
1579608719000,50,93
1579609019000,51,73
1579609319000,49,67
1579609619000,48,71
1579609919000,48,74
1579610219000,48,72
1579610519000,48,79
1579610819000,47,100
1579611119000,49,98
1579611419000,52,97
1579611719000,56,88
1579612019000,54,85
1579612319000,55,122
1579612619000,52,104
1579612919000,50,122
1579613219000,50,83
1579613519000,49,79
1579613819000,46,97
1579614119000,45,94
1579614419000,45,88
1579614719000,46,117
1579615019000,45,109
1579615319000,46,101
1579615619000,46,100
1579615919000,44,102
1579616219000,46,93
1579616519000,50,125
1579616819000,49,105
1579617119000,49,131
1579617419000,51,95
1579617719000,48,102
1579618019000,49,85
1579618319000,47,80
1579618619000,47,67
1579618919000,46,75
1579619219000,47,84
1579619519000,46,110
1579619819000,48,101
1579620119000,48,108
1579620419000,50,91
1579620719000,48,105
1579621019000,47,123
1579621319000,51,129
1579621619000,51,82
1579621919000,51,91
1579622219000,51,81
1579622519000,51,69
1579622819000,48,72
1579623119000,48,79
1579623419000,48,68
1579623719000,48,124
1579624019000,49,94
1579624319000,48,90
1579624619000,48,101
1579624919000,49,136
1579625219000,56,113
1579625519000,52,116
1579625819000,53,130
1579626119000,59,114
1579626419000,52,130
1579626719000,53,152
1579627019000,53,109
1579627319000,57,128
1579627619000,60,93
1579627919000,58,102
1579628219000,54,100
1579628519000,52,116
1579628819000,0,0
1579676223000,0,0
1579676523000,60,80
1579676823000,59,68
1579677123000,58,59
1579677423000,57,62
1579677723000,56,72
1579678023000,55,90
1579678323000,56,92
1579678623000,56,86
1579678923000,57,91
1579679223000,60,64
1579679523000,59,74
1579679823000,56,67
1579680123000,55,58
1579680423000,54,65
1579680723000,54,70
1579681023000,53,84
1579681323000,54,71
1579681623000,53,94
1579681923000,53,91
1579682223000,53,96
1579682523000,53,75
1579682823000,53,75
1579683123000,58,91
1579683423000,59,74
1579683723000,58,77
1579684023000,56,75
1579684323000,55,63
1579684623000,54,80
1579684923000,57,89
1579685223000,56,96
1579685523000,56,107
1579685823000,54,81
1579686123000,53,86
1579686423000,52,76
1579686723000,52,84
1579687023000,50,92
1579687323000,51,78
1579687623000,51,64
1579687923000,53,66
1579688223000,51,74
1579688523000,50,79
1579688823000,50,69
1579689123000,50,91
1579689423000,50,96
1579689723000,50,92
1579690023000,50,106
1579690323000,50,93
1579690623000,56,115
1579690923000,54,121
1579691223000,53,87
1579691523000,54,107
1579691823000,53,73
1579692123000,52,66
1579692423000,51,58
1579692723000,50,64
1579693023000,50,113
1579693323000,50,142
1579693623000,49,102
1579693923000,49,111
1579694223000,51,61
1579694523000,51,76
1579694823000,50,71
1579695123000,49,81
1579695423000,48,69
1579695723000,48,77
1579696023000,48,81
1579696323000,50,142
1579696623000,51,122
1579696923000,49,95
1579697223000,49,122
1579697523000,49,92
1579697823000,48,141
1579698123000,49,125
1579698423000,49,92
1579698723000,48,97
1579699023000,46,75
1579699323000,49,83
1579699623000,48,60
1579699923000,45,82
1579700223000,46,83
1579700523000,46,69
1579700823000,45,65
1579701123000,45,77
1579701423000,45,83
1579701723000,46,80
1579702023000,45,96
1579702323000,46,127
1579702623000,48,116
1579702923000,48,137
1579703223000,48,116
1579703523000,48,103
1579703823000,49,114
1579704123000,49,98
1579704423000,48,119
1579704723000,50,138
1579705023000,49,106
1579705323000,47,102
1579705623000,47,83
1579705923000,46,85
1579706223000,59,107
1579706523000,47,89
1579706823000,45,78
1579707123000,44,83
1579707423000,45,81
1579707723000,0,0
1579752598000,58,53
1579752898000,58,73
1579753198000,57,53
1579753498000,55,86
1579753798000,53,73
1579754098000,54,82
1579754398000,54,88
1579754698000,55,90
1579754998000,55,72
1579755298000,56,65
1579755598000,56,59
1579755898000,57,57
1579756198000,57,61
1579756498000,56,67
1579756798000,56,58
1579757098000,57,73
1579757398000,57,68
1579757698000,63,54
1579757998000,59,70
1579758298000,58,74
1579758598000,56,67
1579758898000,55,74
1579759198000,54,60
1579759498000,54,76
1579759798000,53,60
1579760098000,57,68
1579760398000,53,56
1579760698000,52,55
1579760998000,53,60
1579761298000,52,64
1579761598000,52,68
1579761898000,51,55
1579762198000,51,58
1579762498000,54,68
1579762798000,61,63
1579763098000,56,81
1579763398000,56,87
1579763698000,53,107
1579763998000,52,104
1579764298000,50,67
1579764598000,49,66
1579764898000,49,67
1579765198000,51,88
1579765498000,52,74
1579765798000,52,65
1579766098000,52,65
1579766398000,52,84
1579766698000,51,69
1579766998000,50,86
1579767298000,50,82
1579767598000,50,65
1579767898000,50,85
1579768198000,51,73
1579768498000,50,76
1579768798000,53,99
1579769098000,55,88
1579769398000,52,116
1579769698000,49,119
1579769998000,49,103
1579770298000,48,93
1579770598000,47,108
1579770898000,47,93
1579771198000,48,81
1579771498000,47,75
1579771798000,46,75
1579772098000,46,69
1579772398000,45,83
1579772698000,46,118
1579772998000,46,85
1579773298000,46,76
1579773598000,46,100
1579773898000,46,96
1579774198000,46,102
1579774498000,46,118
1579774798000,45,107
1579775098000,47,110
1579775398000,50,146
1579775698000,55,102
1579775998000,51,132
1579776298000,48,101
1579776598000,48,132
1579776898000,50,156
1579777198000,47,145
1579777498000,50,165
1579777798000,47,105
1579778098000,47,121
1579778398000,47,117
1579778698000,44,95
1579778998000,44,87
1579779298000,44,101
1579779598000,44,112
1579779898000,44,82
1579780198000,45,88
1579780498000,45,98
1579780798000,45,75
1579781098000,44,83
1579781398000,44,69
1579781698000,44,74
1579781998000,45,76
1579782298000,0,0
1579782598000,47,73
1579782898000,46,59
1579783198000,46,66
1579783498000,46,95
1579783798000,46,107
1579784098000,46,105
1579784398000,47,108
1579784698000,48,133
1579784998000,49,143
1579785298000,49,137
1579785598000,0,0
1579785898000,0,0
1579786198000,50,160
1579786498000,49,161
1579786798000,50,123
1579787098000,49,138
1579787398000,49,123
1579787698000,48,112
1579787998000,48,101
1579788298000,47,123
1579788598000,47,101
1579788898000,48,101
1579789198000,47,86
1579789498000,50,116
1579789798000,49,89
1579790098000,45,85
1579790398000,47,87
1579790698000,48,95
1579790998000,50,116
1579791298000,49,149
1579791598000,50,110
1579791898000,47,103
1579792198000,49,114
1579792498000,50,116
1579792798000,48,109
1579793098000,48,130
1579793398000,0,0
1579849801000,59,56
1579850101000,59,66
1579850401000,57,70
1579850701000,57,65
1579851001000,56,76
1579851301000,56,76
1579851601000,56,71
1579851901000,57,69
1579852201000,57,64
1579852501000,57,78
1579852801000,57,61
1579853101000,56,53
1579853401000,57,52
1579853701000,57,80
1579854001000,59,63
1579854301000,65,59
